"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"591","02140","5315","2014",462604,"","q"
"591","02151","5316","2012",86016,"","q"
"616","02111","5315","2012",1554191,"","q"
"616","02111","5315","2013",1369790,"","q"
"616","02111","5315","2014",1656740,"","q"
"616","02122","5315","2012",48793,"","q"
"616","02122","5315","2013",48459,"","q"
"616","02122","5315","2014",55572,"","q"
"616","02131","5315","2012",38196,"","q"
"616","02131","5315","2013",22514,"","q"
"616","02131","5315","2014",23364,"","q"
"616","02140","5315","2012",20604816,"","q"
"616","02140","5315","2013",20278472,"","q"
"616","02140","5315","2014",21665978,"","q"
"616","02151","5316","2012",783837,"","q"
"616","02151","5316","2013",827221,"","q"
"616","02151","5316","2014",927001,"","q"
"616","02191","5316","2012",1542,"","q"
"616","02191","5316","2013",1704,"","q"
"616","02191","5316","2014",1615,"","q"
"642","02111","5315","2012",707000,"","q"
"642","02122","5315","2012",6448000,"","q"
"642","02122","5315","2013",6327000,"","q"
"642","02123","5315","2012",794000,"","q"
"642","02123","5315","2013",863000,"","q"
"642","02140","5315","2012",5362000,"","q"
"642","02140","5315","2013",4793000,"","q"
"642","02151","5316","2012",226472,"","q"
"642","02151","5316","2013",204353,"","q"
"642","02191","5316","2012",134,"","q"
"643","02111","5315","2012",8583044,"","q"
"643","02111","5315","2013",8569506,"","q"
"643","02111","5315","2014",8578174,"","q"
"643","02121.01","5315","2012",563,"","q"
"643","02121.01","5315","2013",835,"","q"
"643","02121.01","5315","2014",725,"","q"
"643","02122","5315","2012",9379944,"","q"
"643","02122","5315","2014",10590813,"","q"
"643","02123","5315","2012",944530,"","q"
"643","02123","5315","2014",995258,"","q"
"643","02131","5315","2012",252193,"","q"
"643","02131","5315","2013",261423,"","q"
"643","02131","5315","2014",269075,"","q"
"643","02140","5315","2014",34271029,"","q"
"643","02151","5316","2012",2059313,"","q"
"643","02151","5316","2013",2129567,"","q"
"643","02151","5316","2014",2280343,"","q"
"643","02191","5316","2012",6835,"","q"
"643","02191","5316","2013",6969,"","q"
"643","02191","5316","2014",7187,"","q"
"670","02111","5315","2012",892,"","q"
"68","02111","5315","2012",1109541.5,"","q"
"68","02111","5315","2013",1123029.1,"","q"
"68","02122","5315","2012",1473524.4,"","q"
"68","02122","5315","2013",1513738.4,"","q"
"68","02123","5315","2012",373117,"","q"
"68","02123","5315","2013",382801,"","q"
"68","02140","5315","2012",1498627.9,"","q"
"68","02140","5315","2013",1540098.8,"","q"
"68","02191","5316","2012",265,"","q"
"688","02111","5315","2012",387409,"","q"
"688","02122","5315","2012",1107694,"","q"
"688","02122","5315","2013",1537435,"","q"
"688","02140","5315","2012",5453062,"","q"
"688","02140","5315","2013",5684030,"","q"
"688","02151","5316","2012",46229,"","q"
"688","02151","5316","2013",64552,"","q"
"703","02111","5315","2012",53335,"","q"
"703","02111","5315","2013",47593,"","q"
"705","02111","5315","2012",115711,"","q"
"705","02111","5315","2013",110326,"","q"
"705","02111","5315","2014",108391,"","q"
"705","02122","5315","2012",104635,"","q"
"705","02122","5315","2013",97433,"","q"
"705","02123","5315","2012",25505,"","q"
"705","02131","5315","2012",1721,"","q"
"705","02131","5315","2013",1393,"","q"
"705","02140","5315","2012",382876,"","q"
"705","02140","5315","2013",324731,"","q"
"705","02151","5316","2012",32161,"","q"
"705","02151","5316","2013",32078,"","q"
"705","02152","5316","2012",409,"","q"
"705","02152","5316","2013",391,"","q"
"729","02122","5315","2012",15300000,"","q"
"729","02122","5315","2013",15350000,"","q"
"729","02122","5315","2014",15400000,"","q"
"729","02123","5315","2012",12501000,"","q"
"729","02123","5315","2013",12863000,"","q"
"729","02123","5315","2014",12866000,"","q"
"740","02111","5315","2012",10407,"","q"
"740","02111","5315","2013",9278,"","q"
"740","02111","5315","2014",8472,"","q"
"740","02122","5315","2012",1173.6,"","q"
"740","02122","5315","2013",1059,"","q"
"740","02122","5315","2014",1064,"","q"
"740","02123","5315","2012",293,"","q"
"740","02123","5315","2013",265,"","q"
"740","02123","5315","2014",532,"","q"
"740","02140","5315","2012",27653,"","q"
"740","02140","5315","2013",27176,"","q"
"740","02140","5315","2014",31398,"","q"
"740","02151","5316","2012",5784,"","q"
"740","02151","5316","2013",4317,"","q"
"740","02151","5316","2014",4566,"","q"
"740","02154","5316","2012",300,"","q"
"740","02154","5316","2013",350,"","q"
"740","02154","5316","2014",350,"","q"
"756","02111","5315","2012",649357,"","q"
"756","02111","5315","2013",647013,"","q"
"756","02122","5315","2012",227411,"","q"
"756","02122","5315","2013",218138,"","q"
"756","02123","5315","2012",32326,"","q"
"756","02123","5315","2013",31109,"","q"
"756","02131","5315","2012",3409,"","q"
"756","02140","5315","2012",2762816,"","q"
"756","02140","5315","2013",2680027,"","q"
"76","02140","5315","2012",36005797,"","q"
"76","02140","5315","2013",36286098,"","q"
"76","02140","5315","2014",37118766,"","q"
"76","02151","5316","2012",5243578,"","q"
"76","02151","5316","2013",5613069,"","q"
"76","02151","5316","2014",5495440,"","q"
"760","02151","5316","2012",112435,"","q"
"760","02151","5316","2013",107306,"","q"
"764","02122","5315","2012",11902,"","q"
"764","02122","5315","2013",23490,"","q"
"764","02140","5315","2012",12828363,"","q"
"764","02140","5315","2013",13071563,"","q"
"780","02111","5315","2012",6621,"","q"
"792","02111","5315","2012",2791034,"","q"
"792","02111","5315","2013",3430723,"","q"
"792","02111","5315","2014",3712281,"","q"
"792","02112","5315","2012",7426,"","q"
"792","02112","5315","2013",2403,"","q"
"792","02151","5316","2014",1109742,"","q"
"804","02111","5315","2012",2335700,"","q"
"804","02111","5315","2013",2602200,"","q"
"804","02122","5315","2012",720773,"","q"
"804","02122","5315","2013",710000,"","q"
"804","02131","5315","2012",62200,"","q"
"804","02131","5315","2013",63700,"","q"
"804","02140","5315","2012",7941400,"","q"
"804","02140","5315","2013",8559800,"","q"
"804","02151","5316","2012",577858,"","q"
"804","02151","5316","2013",653583,"","q"
"804","02191","5316","2012",7774,"","q"
"804","02191","5316","2013",7986,"","q"
"818","02111","5315","2012",1462000,"","q"
"818","02111","5315","2013",1409000,"","q"
